Arts &amp; Humanities,16
Business &amp; Finance,2
Consumer Electronics,2
Education &amp; Reference,3
Entertainment &amp; Music,20
Health,2
Games &amp; Recreation,3
Science &amp; Mathematics,4
Beauty &amp; Style,4
Sports,0
Social Science,22
Cars &amp; Transportation,3
Dining Out,4
Food &amp; Drink,9
Home &amp; Garden,1
Local Businesses,8
Family &amp; Relationships,18
News &amp; Events,7
Pets,13
Politics &amp; Government,19
Environment,3
Society &amp; Culture,6
Travel,2
Computers &amp; Internet,3
Pregnancy &amp; Parenting,10
Yahoo Products,3
