"id_Pregunta","Titulo","Cuerpo","Categoria","Clase","Seguidores","Respuestas","Idioma"
"20130113030811AA6bVuC","Which restaurant chain might entertain with this?","Is there any pizzeria chain or a pizza joint that might offer or provide on request pizza with ""ultra low-fat cheese"" and toppings of soybean and ""live brown organic mushrooms""? Anywhere? ","Other - New Zealand, Dining Out, India","OTROS","0","4","ENG"
"20130131053349AApBwMP","¿Cómo puedo desvincular mi correo yahoo de mi número telefónico (BlackBerry).?","El número telefónico y el equipo (BlackBerry) es de uso Corporativo y debo devolverlos ya que me he desvinculado de la Empresa donde trabajo. Cómo puedo desvincular mi correo yahoo de mi número telefónico (BlackBerry).? ","Yahoo Products, Yahoo Groups","PERMANENTER","0","4","ESP"
"20130218185356AAgNXyZ","¿Quiero saber que significado tiene soñar con una persona que no conozco?","La cosa es así, hace ya un par de semanas soñé que estaba en una fiesta o algo así con una tía mía y aparecía un chico que yo no conocía y estábamos juntos en esa fiesta,  anoche soñé con una amiga mía y otro chico diferente al anterior que también terminábamos juntos. Lo que quiero saber es que significaría eso porque no entiendo esos tipos de sueños y el porque sueño con personas que no conozco que hasta les puedo ver la cara! cosa que aveces en otros sueños uno no ve la cara de la persona pero sabe quien es.. <br/>&#13; <br/> Graciiaaas! :) ","Dining Out, India","PERMANENTER","0","6","ESP"
"20130302131100AAOCQ8h","¿cuanto valen las pizzas medianas en telepizza?","<br/> ","Dining Out, India","PERMANENTER","0","6","ESP"
"20130314221330AAi8n6H","Do you live in denver colorado?","I am looking to relocate from virginia to colorado within the next two years, I was wondering what life is like in denver colorado? What are the best suburbs to live in? weather year round? malls/places of entertainment? and how things work now since recreational use of marijuana was legalized? ","Local Businesses, Bangalore","PERMANENTER","0","4","ENG"
"20130325172540AAAwh9q","Where can i apply for jobs in denver co?","So ive been everywhere in denver co trying to look for a job but no luck yet ! . .  I'm 23 ! What are some good websites to look for one? Ive heard there are a few company that help you get a job. I heard that you pay $25 and they will look for one. Ive applied to a bunch of warehouses but nothing. I'm gonna try to apply to some stores and see if that works out. Please help out if you know some good places  <br/>&#13; <br/> Thanks ","Local Businesses, Bangalore","PERMANENTER","0","4","ENG"
"20130413182217AAxzFJS","My business crashed &amp;debts?","My business suddenly slow. No customers coming and I Have loans and debts. ","India, Local Businesses, Bangalore","PERMANENTER","0","6","ENG"
"20130417062420AANrWbW","¿Peugeot 207 + o Dacia Sandero Ambiance?","Buenas, estoy por comprarme un coche nuevo, estoy entre estas dos opciones: <br/>&#13; <br/>  <br/>&#13; <br/> <a href=""http://www.autocity.com/dacia/sandero/ambiance-1.2-16v-75cv-e5_5p_utilitario-ficha/"" rel=""nofollow"" class=""Clr-b"">http://www.autocity.com/dacia/sandero/am...</a> <br/>&#13; <br/>  <br/>&#13; <br/> <a href=""http://www.autocity.com/peugeot/207-+/1.4-hdi-68cv-fap_5p_utilitario-ficha/equipamiento-interior.html"" rel=""nofollow"" class=""Clr-b"">http://www.autocity.com/peugeot/207-+/1....</a> <br/>&#13; <br/>  <br/>&#13; <br/> El peugeot me sale por 10.100€ y el dacia por 7.900€ <br/>&#13; <br/>  <br/>&#13; <br/> ¿Cual me recomiendan?  <br/>&#13; <br/>  <br/>&#13; <br/> Gracias ","Peugeot, Cars &amp; Transportation, Car Makes, Mercedes-Benz","PERMANENTER","0","6","ESP"
"20130512074056AApoU85","¿Es correcto que yo gane por equivocación de otro?","Hola <br/>&#13; <br/> Resulta que soy corredor de karting, y la carrera pasada, el piloto que iba delante mio, se equivocó en la ultima vuelta. Había una linea de meta marcada en el pavimento... Era la linea final para el año 2012. El dueño del kartódromo no la borró y la linea de meta 2013 estaba unos 30 metros más adelante. <br/>&#13; <br/>  <br/>&#13; <br/> Mi colega lideró toda la carrera, yo poco podía hacer, ya que aun no recibo una evolución de mi motor. Si no se equivocaba, seguro ganaba la carrera, pero al pasar la linea ""vieja"" (la de 2012) desaceleró y empezó a festejar. <br/>&#13; <br/>  <br/>&#13; <br/> Yo aproveché su error y aceleré... Cuando se dio cuenta, aceleró, pero le hice fuerza y no lo dejé pasar. Resultado: gané la carrera. <br/>&#13; <br/>  <br/>&#13; <br/> Como lidero el campeonato, todos me dijeron que eso no era necesario y comenzaron con esas tonterías que se dicen sobre etica, compañerismo, etc. que con 13 años ya no las creo... Todos decían que había sido tonto pelear en 15 metros una carrera que no podía ganar. Aunque si vamos al caso, si gané. Yo tengo entendido que gana el que llega primero... <br/>&#13; <br/>  <br/>&#13; <br/> ¿Hice mal en ganar? ¿Debería haberlo dejado ganar la carrera? <br/>&#13; <br/>  <br/>&#13; <br/> Mi papá siempre me compra un alfajor luego de cada carrera, pero esta vez no lo hizo y se lo veía triste. Cuando le dije que se alegrara por mi victoria, solo me miró con ojos tristes y me dijo: ""Si, Ramiro ganaste"" (nunca me dice Ramiro, siempre Rami, o Flaquito, de cariño)  y cuando le dije del alfajor, me miró y me dijo: ""No tengo dinero, vamos a casa"" Yo sé que dinero tenía, cargamos combustible antes de ir al kartódromo... <br/>&#13; <br/>  <br/>&#13; <br/> ¿Hice mal en ganar una carrera? ¿A caso no gana el que llega primero? <br/>&#13; <br/>  <br/>&#13; <br/> Gracias. ","Other - Auto Racing, Auto Racing, NASCAR, Sports","PERMANENTE-NR","0","5","ESP"
"20130529060612AAtobE6","&#3607;&#3635;&#3652;&#3617;&#3627;&#3609;&#3629; &#3626;&#3626;.&#3627;&#3619;&#3639;&#3629;&#3607;&#3637;&#3656;&#3648;&#3619;&#3637;&#3618;&#3585;&#3652;&#3623;&#3657;&#3651;&#3609;&#3627;&#3621;&#3634;&#3618;&#3654;&#3594;&#3639;&#3656;&#3629; &#3652;&#3617;&#3656;&#3611;&#3585;&#3611;&#3657;&#3629;&#3591;&#3612;&#3621;&#3611;&#3619;&#3632;&#3650;&#3618;&#3594;&#3609;&#3660;&#3626;&#3641;&#3591;&#3626;&#3640;&#3604;&#3586;&#3629;&#3591;&#3594;&#3634;... &#3649;&#3621;&#3632;&#3611;&#3619;&#3632;&#3594;&#3634;&#3594;&#3609;?","&#3585;&#3655;&#3649;&#3588;&#3656;&#3609;&#3633;&#3656;&#3591;&#3615;&#3633;&#3591; &#3588;&#3635;&#3629;&#3616;&#3636;&#3611;&#3619;&#3634;&#3618; &#3588;&#3640;&#3603;&#3619;&#3629;&#3648;&#3623;&#3621;&#3634;&#3610;&#3657;&#3634;&#3591;&#3652;&#3617;&#3656;&#3652;&#3604;&#3657;&#3627;&#3619;&#3639;&#3629;&#3652;&#3591; ?&#3649;&#3621;&#3657;&#3623;&#3592;&#3632;&#3648;&#3627;&#3655;&#3609;&#3604;&#3657;&#3623;&#3618;&#3627;&#3619;&#3639;&#3629;&#3652;&#3617;&#3656; ?&#3619;&#3629;&#3648;&#3588;&#3657;&#3634;&#3614;&#3641;&#3604;&#3651;&#3627;&#3657;&#3592;&#3610; <br/>&#13; <br/> &#3649;&#3618;&#3657;&#3591;&#3588;&#3657;&#3634;&#3609; &#3585;&#3655;&#3619;&#3629;&#3615;&#3633;&#3591;&#3629;&#3618;&#3641;&#3656; &#3627;&#3657;&#3634;&#3617;&#3629;&#3618;&#3641;&#3656;&#3609;&#3633;&#3656;&#3609;&#3649;&#3627;&#3621;&#3632; &#3611;&#3619;&#3632;&#3607;&#3657;&#3623;&#3591;&#3648;&#3614;&#3639;&#3656;&#3629;&#3629;&#3632;&#3652;&#3619;? &#3615;&#3633;&#3591;&#3592;&#3610; &#3649;&#3621;&#3657;&#3623;&#3585;&#3655;&#3623;&#3656;&#3634;&#3585;&#3633;&#3609;&#3652;&#3611; &#3648;&#3630;&#3657;&#3629; &#3614;&#3633;&#3585;&#3585;&#3634;&#3619;&#3611;&#3619;&#3632;&#3594;&#3640;&#3617;&#3648;&#3621;&#3618; <br/>&#13; <br/> &#3592;&#3632;&#3611;&#3636;&#3604;&#3611;&#3634;&#3585;&#3652;&#3617;&#3656;&#3609;&#3656;&#3634;&#3592;&#3632;&#3652;&#3604;&#3657;&#3609;&#3632;&#3588;&#3619;&#3633;&#3610; &#3648;&#3627;&#3629; &#3648;&#3627;&#3629; &#3666;&#3664;.&#3664;&#3664;&#3609; &#3666;&#3673;/&#3669;/&#3666;&#3669;&#3669;&#3670;</span> <br/>     <span itemprop=""text"" class=""ya-q-text"">&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;&#3659;... <br/> <br/>  <br/> <br/> &#3629;&#3639;&#3617;..&#3618;&#3634;&#3585;&#3641;&#3627;&#3617;&#3604;...&#3614;&#3641;&#3604;&#3609;&#3656;&#3634;&#3588;&#3636;&#3604; ""&#3595;&#3639;&#3657;&#3629;&#3648;&#3626;&#3637;&#3618;&#3591;&#3650;&#3604;&#3618;""&#3609;&#3650;&#3618;&#3610;&#3634;&#3618;""&#3617;&#3633;&#3609;&#3612;&#3639;&#3604;&#3585;&#3599;&#3627;&#3617;&#3634;&#3618;&#3648;&#3621;&#3639;&#3629;&#3585;&#3605;&#3633;... ","Politics &amp; Government, Military","OTROS","4","4","ENG"
